,,,,,,,,,"6,36,246",78,"1,95,087",,Total Sold,203,DIvidend%,0%,,,,,Profit ,Net Profit,,,,,,,
Copy paste this data from KHM sheet,,,,,,,Manual Entry,,,This data will populate automatically,,,0,"40,578","1,54,509",0,"1,54,509",,,,30.66%,24.28%,,,,,,,
Buy Date,ETF Code,Underlying Asset,Buy Price,Actual Buy Qty,Suggested Qty,Invested amount,Sell Price,Sell Date,Invested amt on this date,Holding Days,Profit Amount,Profit%,Brokerage plus charges Both Side,Income Tax (STCG),Profit after deducting Brokerage and Income Tax ,Dividend paid to Self,Growth Amount after Tax and Dividend,,Sell Date - Year-Month,SUM of Profit Amount,MAX of Invested amt on this date,SUM of Brokerage plus charges Both Side,SUM of Income Tax (STCG),SUM of Dividend paid to Self,SUM of Growth Amount after Tax and Dividend,Monthly P% on Max Invested,Overall P% on Max Invested till date,Overall P% on Max Invested from pocket,Approx Annualised %
,,,,,,,,01-Jan-23,,,,,,0,0,0,0,,2023-Jan,0,0,0,0,0,0,,,,
28-Jul-23,ITBEES,NIFTY IT Index,31.07,390,,"12,117",33.03,01-Sep-23,"2,89,077",35,764,6.31%,,159,605,0,605,,2023-Sep,"3,083","3,03,254",0,641,0,"2,442",1.02%,1.02%,1.03%,12.32%
26-Jul-23,ICICITECH,NIFTY IT Index,31.35,383,,"12,007",33.57,04-Sep-23,"3,01,821",40,850,7.08%,,177,673,0,673,,2023-Nov,"16,613","5,44,240",0,"3,455",0,"13,157",3.05%,3.62%,3.75%,15.02%
21-Aug-23,NSE:MAFANG,NYSE FANG+ Total Return Index,60.88,198,,"12,054",64.60,06-Sep-23,"3,02,484",16,737,6.11%,,153,583,0,583,,2023-Dec,"20,830","3,50,931",0,"4,333",0,"16,498",5.94%,7.45%,8.05%,24.24%
02-Aug-23,PSUBANKICI,Nifty PSU Bank,44.68,269,,"12,019",47.40,09-Sep-23,"3,03,254",38,732,6.09%,,152,579,0,579,,2024-Jan,"7,833","4,47,617",0,"1,629",0,"6,204",1.75%,8.89%,9.75%,23.41%
23-Oct-23,KOTAKPSUBK,Nifty PSU Bank,475.90,26,,"12,373",504.50,03-Nov-23,"5,30,549",11,744,6.01%,,155,589,0,589,,2024-Feb,"3,565","5,47,316",0,742,0,"2,824",0.65%,9.49%,10.48%,20.91%
26-Oct-23,MID150BEES,Nifty Midcap 150,146.30,83,,"12,143",155.10,08-Nov-23,"5,43,861",13,730,6.02%,,152,578,0,578,,2024-Mar,"5,897","6,34,710",0,"1,227",0,"4,671",0.93%,9.11%,10.02%,17.26%
30-Oct-23,MASPTOP50,S&P 500 Top 50 Total Return Index,31.10,400,,"12,440",33.04,12-Nov-23,"5,44,240",13,776,6.24%,,161,615,0,615,,2024-Apr,"14,712","6,36,246",0,"3,060",0,"11,652",2.31%,11.40%,12.87%,19.34%
26-Sep-23,NSE:MAFANG,NYSE FANG+ Total Return Index,61.22,207,,"12,673",65.25,12-Nov-23,"5,31,567",47,834,6.58%,,174,661,0,661,,2024-May,"17,019","5,94,402",0,"3,540",0,"13,479",2.86%,14.08%,16.38%,21.92%
25-Oct-23,MOM100,Nifty Midcap 100,41.19,300,,"12,357",43.70,13-Nov-23,"5,33,768",19,753,6.09%,,157,596,0,596,,2024-Jun,"20,789","5,37,288",0,"4,324",0,"16,465",3.87%,17.34%,20.98%,25.22%
16-Aug-23,MON100,Nasdaq100,120.48,100,,"12,048",127.85,15-Nov-23,"5,21,720",91,737,6.12%,,153,584,0,584,,2024-Jul,"13,903","4,82,858",0,"2,892",0,"11,011",2.88%,19.53%,24.27%,26.55%
25-Aug-23,HEALTHY,Nifty Healthcare TRI,9.57,1255,,"12,010",10.16,17-Nov-23,"5,09,709",84,740,6.17%,,154,586,0,586,,2024-Aug,"5,546","5,28,886",0,"1,154",0,"4,393",1.05%,20.40%,25.63%,25.66%
09-Oct-23,JUNIORBEES,Nifty Next 50,469.26,26,,"12,201",498.00,17-Nov-23,"4,97,508",39,747,6.12%,,155,592,0,592,,2024-Sep,"17,686","5,35,920",0,"3,679",0,"14,007",3.30%,23.18%,30.17%,27.85%
13-Nov-23,ICICITECH,NIFTY IT Index,32.35,450,,"14,558",34.30,20-Nov-23,"4,82,951",7,877,6.03%,,183,695,0,695,,2024-Oct,"17,854","4,59,074",0,"3,714",0,"14,140",3.89%,25.99%,35.11%,30.13%
01-Sep-23,PHARMABEES,Nifty Pharma TRI,15.26,834,,"12,727",16.20,20-Nov-23,"4,70,224",80,784,6.16%,,163,621,0,621,,2024-Nov,"9,141","4,45,095",0,"1,901",0,"7,240",2.05%,27.42%,37.78%,30.23%
